Country,Code,Emissions Per Capita
Saint Kitts and Nevis,KNA,4.4620469425142185e-06
Saint Lucia,LCA,4.905267751790776e-06
Saint Pierre and Miquelon,SPM,2.4528954250357043e-05
Saint Vincent and the Grenadines,VCT,4.855001264402996e-06
Samoa,WSM,4.0577861719545005e-06
Sao Tome and Principe,STP,8.772240814030899e-07
Saudi Arabia,SAU,1.7777490227752485e-05
Senegal,SEN,3.8909549092774375e-06
Serbia,SRB,7.691275052034855e-06
Seychelles,SYC,9.36909145351288e-06
Sierra Leone,SLE,2.0591800948283245e-07
Singapore,SGP,2.7775611719820436e-05
Sint Maarten (Dutch part),SXM,5.158686030604196e-05
Slovakia,SVK,7.048112023725348e-06
Slovenia,SVN,1.0997678943693699e-05
Solomon Islands,SLB,7.606615883361701e-07
Somalia,SOM,5.01843773848632e-08
South Africa,ZAF,1.9541275311290192e-05
South Sudan,SSD,2.6689013594865106e-07
Spain,ESP,6.598103464155917e-06
Sri Lanka,LKA,1.6643693196222665e-06
Sudan,SDN,4.120116602986786e-07
Suriname,SUR,5.422146414510206e-06
Sweden,SWE,1.1383362203390359e-05
Switzerland,CHE,5.3457556355541745e-06
Tajikistan,TJK,1.4021801504262684e-06
Thailand,THA,8.249173246523097e-06
Timor-Leste,TLS,9.949085175953846e-07
Togo,TGO,8.64771922947507e-07
Tonga,TON,1.7094966224322997e-06
Trinidad and Tobago,TTO,8.471535026859835e-05
Tunisia,TUN,2.392828469389868e-06
Turkey,TUR,8.377996819965773e-06
Turkmenistan,TKM,1.1004362730415096e-05
Turks and Caicos Islands,TCA,5.277160675141562e-05
Tuvalu,TUV,9.114056929981029e-07
USA,USA,1.8286467240520147e-05
Uganda,UGA,1.593381973002596e-06
Ukraine,UKR,1.1705846800967733e-05
United Arab Emirates,ARE,0.00012281341800374275
United Kingdom,GBR,5.29477477626785e-05
Uruguay,URY,2.775886757212047e-06
Uzbekistan,UZB,5.736502569514539e-06
Vanuatu,VUT,2.999161290683904e-06
Viet Nam,VNM,7.3792671916356905e-06
Wallis and Futuna Islands,WLF,1.983330727828113e-06
Yemen,YEM,9.78527244607935e-07
Zambia,ZMB,4.969044714887083e-07
Zimbabwe,ZWE,1.5689524228810709e-06
