Country,Code,Lung Cancer Per Capita
Switzerland,CHE,0.0004326434769914375
Tajikistan,TJK,8.748403846816419e-05
Thailand,THA,0.0006832394361047917
Togo,TGO,0.00012935313287871825
Tonga,TON,0.00032712476373602183
Trinidad and Tobago,TTO,0.00028552350494240694
Tunisia,TUN,0.00016873435040490813
Turkey,TUR,0.00040918416139805995
Turkmenistan,TKM,5.0917221729244625e-05
Uganda,UGA,0.00031580860110976705
Ukraine,UKR,0.0007046697313744434
United Arab Emirates,ARE,2.7591543252695044e-05
United Kingdom,GBR,0.00485691704428189
United States Virgin Islands,VIR,0.002001763464361421
Uruguay,URY,0.0004356442203382586
Uzbekistan,UZB,8.99599100250422e-05
Vanuatu,VUT,0.000816330822599182
Western Europe,WE,0.0024909910134145283
World,OWID_WRL,0.0002202857373901815
Yemen,YEM,7.985886057240363e-05
Zambia,ZMB,4.6650518645410204e-05
Zimbabwe,ZWE,0.00012150379740084511
