Country,Year,Lung Cancer Per Capita,Emissions Per Capita,Smokers Per Capita
Belgium,2011,0.0006503894456592088,9.51418764762285e-06,0.21399868675001793
Belgium,2012,0.0006517352389480732,9.215473273807745e-06,0.21347227119064022
Belize,2000,8.200337291914512e-05,1.6460154904619685e-06,0.05445787542740198
Belize,2001,8.422584478033052e-05,1.8017251108424023e-06,0.05402660217654172
Belize,2002,8.222805845609347e-05,1.6889607675389767e-06,0.053596471695828304
Belize,2003,8.0846798763627e-05,1.6377093765861863e-06,0.05315191781755922
Belize,2004,7.856602955226952e-05,1.4406749764816556e-06,0.052236447554092194
Belize,2005,7.878880538564422e-05,1.50284440481498e-06,0.05155595185020062
Belize,2006,7.910212382545571e-05,1.5355021490740453e-06,0.05159509436184104
Belize,2007,7.886053820501862e-05,1.6028374044748347e-06,0.051835126340549105
Belize,2008,8.006473109977722e-05,1.4264225261801086e-06,0.05233404542792741
Belize,2009,8.161130817293766e-05,1.6444038437666111e-06,0.052993433512322906
Belize,2010,8.179371762711654e-05,1.6721451944390975e-06,0.05384562845771268
Belize,2011,8.30849084779297e-05,1.6789080470234084e-06,0.05486165480157068
Belize,2012,8.480835933768272e-05,1.3370715512714392e-06,0.05585668977834741
Benin,2000,3.3961458757709144e-05,2.1047773063906763e-07,0.045205624502806005
Benin,2001,3.422689277556797e-05,2.342061006031441e-07,0.04506227848676956
Benin,2002,3.448581949984277e-05,2.8392311777671656e-07,0.044678107528166526
Benin,2003,3.4775307486100395e-05,3.1256469337299627e-07,0.04440132713460713
Benin,2004,3.5058055629235046e-05,3.285302754278456e-07,0.04415372926703649
Benin,2005,3.525449368844577e-05,3.0551012286888185e-07,0.04388656418328718
Benin,2006,3.562861769129216e-05,3.9881627552132184e-07,0.04370012202130499
Benin,2007,3.6064503933445895e-05,4.5456390388217247e-07,0.04351600373784613
Benin,2008,3.668206002850288e-05,4.4001657671519435e-07,0.043362189886923766
Benin,2009,3.7442808002255434e-05,4.605626112971863e-07,0.043451010268286315
Benin,2010,3.817016728229006e-05,4.953984401384331e-07,0.04359248801837024
Benin,2011,3.881404547221063e-05,4.6057412932663544e-07,0.04374464086330166
Benin,2012,3.931914687502933e-05,4.3963498187251984e-07,0.04385635901777478
Bhutan,2000,2.7405910760600606e-05,6.520273089387558e-07,0.05929765823636299
Bhutan,2001,2.7545692169207968e-05,6.117244717638594e-07,0.06100451897605241
Bhutan,2002,2.7932794645972525e-05,6.477817552112275e-07,0.06313888422222509
Bhutan,2003,2.872266928447734e-05,5.679367565514862e-07,0.06553770955222517
Bhutan,2004,2.9308041203647432e-05,4.4744004147749733e-07,0.06783940085324258
Bhutan,2005,3.031606401406253e-05,5.705742149752081e-07,0.07004732234522246
Bhutan,2006,3.096695738644803e-05,5.56080860291715e-07,0.07218607967204349
Bhutan,2007,3.1862554466310844e-05,5.478012482137985e-07,0.0741548735794746
Bhutan,2008,3.268459463534651e-05,5.820798362274317e-07,0.07588254653585352
Bhutan,2009,3.382118703757321e-05,5.291151505422272e-07,0.0774340025054538
Bhutan,2010,3.483119270151209e-05,6.586994483470254e-07,0.07880331558745655
Bhutan,2011,3.601062667961998e-05,9.356525932561461e-07,0.08007783203029169
Bhutan,2012,3.731669191355414e-05,1.071520983990737e-06,0.0811764624312725
Bolivia,2000,6.0286712420466965e-05,9.855530117812234e-07,0.20086571602540587
Bolivia,2001,6.13102165609203e-05,9.34268525205109e-07,0.20084931724872526
Bolivia,2002,6.277168707937447e-05,9.300113262243607e-07,0.20021463762542296
Bolivia,2003,6.413650490241215e-05,1.0987306701785e-06,0.19849949952403445
Bolivia,2004,6.573275705954648e-05,1.0872562560226313e-06,0.19540434919559185
Bolivia,2005,6.754998063426617e-05,1.1906285630924092e-06,0.18526363631322496
Bolivia,2006,6.805077801657671e-05,1.2116706835398042e-06,0.1750367795656202
Bolivia,2007,6.878168301762757e-05,1.3073130767595852e-06,0.1656945540549669
Bolivia,2008,6.989854705076912e-05,1.3747150601183552e-06,0.1581059962696571
Bolivia,2009,7.10634794425447e-05,1.4185579859833295e-06,0.15614550809610322
Bolivia,2010,7.230773184118193e-05,1.5160897638426843e-06,0.15552215680501444
Bolivia,2011,7.388095729939441e-05,1.6425687695346955e-06,0.1559088732605981
Bolivia,2012,7.567751089742686e-05,1.6808348432315514e-06,0.1570533195038609
Bosnia and Herzegovina,2000,0.0004275243370380562,3.278548338856521e-06,0.2662079031428332
Bosnia and Herzegovina,2001,0.0004346564380542998,3.1616271729792042e-06,0.26572302006325726
Bosnia and Herzegovina,2002,0.0004481686085923004,3.375706755652735e-06,0.26362908815480146
Bosnia and Herzegovina,2003,0.00046526033873382224,3.43187235778751e-06,0.2594426492743245
Bosnia and Herzegovina,2004,0.0004806737461560371,3.732313908749028e-06,0.2579667186436423
Bosnia and Herzegovina,2005,0.0004968518666330264,3.9191060150252905e-06,0.2575001276165359
Bosnia and Herzegovina,2006,0.0005138313902169644,4.284487810263262e-06,0.256760945923768
Bosnia and Herzegovina,2007,0.0005308834991401929,4.35999816361584e-06,0.2572447351165555
Bosnia and Herzegovina,2008,0.0005480825839784632,5.061289620712321e-06,0.2590782250407771
Bosnia and Herzegovina,2009,0.0005646004407194894,5.296136677196828e-06,0.26123783121655597
Bosnia and Herzegovina,2010,0.0005848560644624317,5.548469098588119e-06,0.263932241921467
Bosnia and Herzegovina,2011,0.0006032991981068311,6.347952869541151e-06,0.2674573927465215
Bosnia and Herzegovina,2012,0.000620433614270077,6.02393060695509e-06,0.2723397237189246
Botswana,2000,0.00010868585216432106,2.1873866883615086e-06,0.08397351453544762
Botswana,2001,0.00010712704903145982,2.1835146685736664e-06,0.08402944498362591
Botswana,2002,0.00010563237431272388,2.2145694183708143e-06,0.0840980876036833
Botswana,2003,0.00010265122124647552,2.0938712974098224e-06,0.08423291730140683
Botswana,2004,9.976496351699895e-05,2.095026316709564e-06,0.0843377252788334
Botswana,2005,9.652847680719692e-05,2.162232071204301e-06,0.08447295471751742
Botswana,2006,9.529466247801632e-05,2.1428855853464292e-06,0.08458737058667375
Botswana,2007,9.419288888482174e-05,2.1496214749842018e-06,0.08462122332899673
Botswana,2008,9.427457191678457e-05,2.2433174581033416e-06,0.08461132255943248
Botswana,2009,9.340863007608114e-05,1.8816250096998676e-06,0.08428514048580842
Botswana,2010,9.293860486196635e-05,2.1692179049790024e-06,0.0837405051671779
Botswana,2011,9.210733609585963e-05,1.8878782326641945e-06,0.08309509160337895
Botswana,2012,9.235798802532838e-05,2.3336639966903022e-06,0.0824418217129986
Brazil,2000,0.0001103660185842433,1.9342457758896554e-06,0.11607700684331917
Brazil,2001,0.00011177711075278983,1.9424406389605418e-06,0.11578916559440838
Brazil,2002,0.00011364407297263909,1.926924799178354e-06,0.11541157241446451
Brazil,2003,0.00011670033629547613,1.8871289629694533e-06,0.11530309504919578
Brazil,2004,0.00011954525757383485,1.9566370863492453e-06,0.11393331114251481
Brazil,2005,0.00012183071633131553,1.9506220575931775e-06,0.11245383726943341
Brazil,2006,0.0001233576190557346,1.953551888982161e-06,0.1107835422392977
Brazil,2007,0.00012502434882230215,2.0472487674026405e-06,0.10870295869859738
Brazil,2008,0.0001266182253883416,2.1416569148332813e-06,0.10698188676477068
Brazil,2009,0.00012821065471064515,2.0038037801926034e-06,0.10604501293608218
Brazil,2010,0.00013025283161248796,2.2422264840596775e-06,0.10485379093741812
Brazil,2011,0.00013227833721998213,2.3340782355292924e-06,0.10404904799650581
Brazil,2012,0.00013421365487504064,2.491822751022943e-06,0.10368481722815234
Bulgaria,2000,0.00039589597244709166,5.564672567480831e-06,0.2830887770783773
Bulgaria,2001,0.00040463289713180264,6.1155321006919346e-06,0.29879255480799316
Bulgaria,2002,0.00041810720655094364,5.889312596742621e-06,0.31414385898158786
Bulgaria,2003,0.0004310888573560958,6.49907007126517e-06,0.3234791282733189
Bulgaria,2004,0.0004457610944088658,6.425327400004665e-06,0.32964703260134304
Bulgaria,2005,0.00046779397287259963,6.613733801350886e-06,0.33230125400641236
Bulgaria,2006,0.00047786222773727003,6.826957611752735e-06,0.33120901373525824
Bulgaria,2007,0.0004835282483037871,7.38702268871189e-06,0.32698985784334644
Bulgaria,2008,0.00048680569941305784,7.217308340899727e-06,0.3212318191336714
Bulgaria,2009,0.0004871408660124068,6.1539066119520295e-06,0.3142905385936866
Bulgaria,2010,0.0004902656102636176,6.47127108973864e-06,0.30276289993548866
Bulgaria,2011,0.0004894870718890066,7.236307769604187e-06,0.2924092392174111
Bulgaria,2012,0.0004886090754470914,6.616431157992019e-06,0.2819315051093036
Burkina Faso,2000,2.151148240225777e-05,8.665486033361586e-08,0.06221660929565271
Burkina Faso,2001,2.0560013539852687e-05,8.090727298909596e-08,0.06139987676497278
Burkina Faso,2002,1.984949497196426e-05,7.926628224905596e-08,0.06050567795856786
Burkina Faso,2003,1.944626478568777e-05,8.246325895732589e-08,0.0595759624409975
Burkina Faso,2004,1.9103351872459697e-05,8.181964017936368e-08,0.05802263383315322
Burkina Faso,2005,1.879422343857187e-05,8.086406242894721e-08,0.056684476871680406
Burkina Faso,2006,1.870872849173687e-05,9.475007477520986e-08,0.05567571433900042
Burkina Faso,2007,1.8664483447057322e-05,1.0779907995311266e-07,0.05504492286207957
Burkina Faso,2008,1.8611203938171782e-05,1.1406465952731015e-07,0.05473579764066321
Burkina Faso,2009,1.8587064727448946e-05,1.1686737564969557e-07,0.05463800625967171
Burkina Faso,2010,1.8967016087826123e-05,1.2635053572830166e-07,0.05464723399648008
Burkina Faso,2011,1.9036673046973042e-05,1.283489606569457e-07,0.054688736154244286
Burkina Faso,2012,1.9337858224027348e-05,1.530299761618331e-07,0.05488756046898479
Burundi,2000,2.2623735953386195e-05,4.298520259259418e-08,0.06819186008628558
Burundi,2001,2.1169142319450753e-05,3.1734085978549366e-08,0.06841455928635426
Burundi,2002,2.041710886761164e-05,3.196179600411374e-08,0.06905208019686752
Burundi,2003,1.9892732295696475e-05,2.3497976780123034e-08,0.06990172932026167
Burundi,2004,1.9635705082904335e-05,2.7786828333307118e-08,0.07062022083854833
Burundi,2005,1.9437945578717408e-05,2.0826989335587533e-08,0.0715010162576869
Burundi,2006,1.9304190024013506e-05,2.392210169765963e-08,0.07265502684054587
Burundi,2007,1.9180018513182963e-05,2.5365628440619294e-08,0.07383182734354832
Burundi,2008,1.8949719181035187e-05,2.5228950234890602e-08,0.07473856650111758
Burundi,2009,1.8544790470397042e-05,1.935204009109274e-08,0.07495758014992136
Burundi,2010,1.8565136641719457e-05,3.251855427072827e-08,0.07542278864922937
Burundi,2011,1.889027949498997e-05,3.745219963380946e-08,0.07673344837465271
Burundi,2012,1.9173142426215194e-05,3.870867366465693e-08,0.0779686220551338
Cambodia,2000,9.784496223690038e-05,1.629607979838996e-07,0.12960653580651812
Cambodia,2001,0.00010013532436519062,1.8233595327419125e-07,0.1303874181889859
Cambodia,2002,0.00010228609705679427,1.7559041597531688e-07,0.13111335583916897
Cambodia,2003,0.00010471420223011,1.8595479565926972e-07,0.13173500181033196
Cambodia,2004,0.00010724795935825737,1.8775494337092878e-07,0.13207206524767925
Cambodia,2005,0.00010953667568458976,2.093859223922124e-07,0.13189408921530935
Cambodia,2006,0.00011022708370570552,2.22377292282356e-07,0.1319016285991928
Cambodia,2007,0.00011204469364498519,2.530947792058953e-07,0.13170605370508381
Cambodia,2008,0.00011469156601085723,2.77305440204339e-07,0.13142819276804288
Cambodia,2009,0.0001179005017752516,3.219249576496884e-07,0.13126364287561088
