Country,Data.Smokers.Total,PopTotal,Smokers_Per_Capita
Comoros,41563.92307692308,548839.3333333334,0.0757305837110613
Congo,184790.61538461538,3252109.25,0.05682177355653577
Costa Rica,362035.3076923077,4370173.166666667,0.08284232543774661
Croatia,1001713.8461538461,4359913.833333333,0.22975542280109576
Cuba,1603955.4615384615,11233428.333333334,0.142784145137508
Cyprus,204110.76923076922,976739.5833333334,0.2089715341874417
Denmark,1096032.076923077,4640145.083333333,0.23620642398873493
Djibouti,105950.30769230769,737967.1666666666,0.14357048995943275
Dominica,2811.923076923077,60011.416666666664,0.046856468870613406
Dominican Republic,724130.5384615385,9273100.0,0.07808937016332602
Ecuador,602109.3846153846,11108592.0,0.05420213332305162
Egypt,8123289.615384615,65565211.416666664,0.12389633831516444
El Salvador,376189.07692307694,5630910.583333333,0.06680785840154188
Equatorial Guinea,35350.07692307692,692184.75,0.05107029145481307
Eritrea,172918.15384615384,2435863.4166666665,0.07098844404124349
Estonia,317611.6153846154,1047468.1666666666,0.3032183941163037
Ethiopia,1627083.0,68919910.83333333,0.0236083155118224
Fiji,83364.61538461539,836342.1666666666,0.09967764236601175
Finland,827514.8461538461,4899987.833333333,0.1688810001780983
France,14017843.153846154,61587790.583333336,0.22760750176415018
Gabon,88371.46153846153,1270687.6666666667,0.06954617083069839
Gambia,100954.0,1376930.1666666667,0.07331816997255125
Georgia,820992.3076923077,3235052.1666666665,0.25378023765788044
Germany,16580151.615384616,81268637.0,0.20401660748148903
Ghana,536764.3076923077,22756845.666666668,0.023586937994598215
Greece,3639414.923076923,9323917.833333334,0.3903310805749367
Grenada,6631.615384615385,105142.91666666667,0.06307239322302154
Guatemala,507220.92307692306,11418673.083333334,0.04442030342538324
Guinea,353710.6153846154,8718087.666666666,0.04057204158854892
Guinea-Bissau,54820.38461538462,1291526.1666666667,0.04244620514106343
Guyana,71923.30769230769,691394.5833333334,0.10402642633610598
Haiti,469364.6153846154,7297550.25,0.06431810666663315
Honduras,507941.23076923075,5878903.583333333,0.08640067379387578
Hungary,2554236.769230769,9290534.333333334,0.27492894139215124
Iceland,45713.38461538462,282410.6666666667,0.161868477401885
India,110909176.92307693,1172876241.9166667,0.09456170477273344
Indonesia,46027172.76923077,214769378.58333334,0.21430975436459448
Iraq,2708579.153846154,27758023.0,0.09757824445372619
Ireland,808118.0769230769,3920844.3333333335,0.20610817676509222
Israel,1026983.3076923077,6312080.583333333,0.1627012352161655
Italy,11422642.076923076,54027809.583333336,0.21142152837613404
Jamaica,277894.8461538461,2534023.25,0.10966546820509486
Japan,27452385.230769232,109037164.16666667,0.25177090252280787
Jordan,912762.0769230769,5866327.25,0.155593446806616
Kazakhstan,2483464.769230769,15691019.666666666,0.15827300086217697
Kenya,2087882.4615384615,35106666.25,0.05947253569080948
Kiribati,26502.0,73993.0,0.3581690159879989
Kuwait,436246.3846153846,2362141.9166666665,0.18468254660625688
Kyrgyzstan,631044.0769230769,4831219.333333333,0.13061797310031953
Latvia,585584.0,2212386.9166666665,0.26468426277004065
Lebanon,858787.4615384615,3946638.5,0.21759972734732647
Lesotho,213750.92307692306,1855504.6666666667,0.11519826757478184
Liberia,135092.38461538462,3467254.75,0.03896234755043154
Libya,517106.23076923075,5453003.833333333,0.09482961071991987
Lithuania,716588.9230769231,3033571.25,0.23621957884685357
Luxembourg,102521.76923076923,438694.5,0.233697411822508
Madagascar,1720650.7692307692,14539193.166666666,0.11834568462682135
Malawi,765676.1538461539,11160264.0,0.0686073513893716
Malaysia,3624025.5384615385,26443177.5,0.1370495485446686
Maldives,38357.53846153846,307320.0833333333,0.12481298991427818
Mali,677126.8461538461,12637820.5,0.05357940051085914
Malta,78915.46153846153,285781.0,0.2761396367794274
Marshall Islands,6681.846153846154,55067.166666666664,0.12133993009469322
Mauritania,236842.53846153847,2672822.4166666665,0.08861140081162212
Mauritius,163615.15384615384,1044152.4166666666,0.15669661941546417
Mexico,8060285.076923077,100823629.33333333,0.07994440519766395
Micronesia,15884.615384615385,461558.3333333333,0.034415184901761174
Mongolia,430923.07692307694,2593980.5,0.16612425456670818
Montenegro,134593.07692307694,573119.75,0.23484285251568618
Morocco,2879766.153846154,26265429.083333332,0.10964093313341311
Mozambique,1352455.5384615385,19440205.0,0.06957002451679592
